# vendor/ollama/bin/ollama serve
time=2026-08-18T23:22:44.943+03:00 level=INFO source=routes.go:1933 msg="server config" env="map[CUDA_VISIBLE_DEVICES: GGML_VK_VISIBLE_DEVICES: GPU_DEVICE_ORDINAL: HIP_VISIBLE_DEVICES: HSA_OVERRIDE_GFX_VERSION: HTTPS_PROXY:http://127.0.0.1:12334 HTTP_PROXY:http://127.0.0.1:12334 LLAMA_ARG_FIT: LLAMA_ARG_FIT_TARGET: NO_PROXY: OLLAMA_CONTEXT_LENGTH:0 OLLAMA_DEBUG:INFO OLLAMA_DEBUG_LOG_REQUESTS:false OLLAMA_EDITOR: OLLAMA_FLASH_ATTENTION:false OLLAMA_GO_TEMPLATE:true OLLAMA_GPU_OVERHEAD:0 OLLAMA_HOST:http://127.0.0.1:11434 OLLAMA_IGPU_ENABLE: OLLAMA_KEEP_ALIVE:5m0s OLLAMA_KV_CACHE_TYPE: OLLAMA_LLM_LIBRARY: OLLAMA_LOAD_TIMEOUT:5m0s OLLAMA_MAX_LOADED_MODELS:0 OLLAMA_MAX_QUEUE:512 OLLAMA_MAX_TRANSFER_STREAMS:4 OLLAMA_MODELS:/home/sergey/.ollama/models OLLAMA_NOHISTORY:false OLLAMA_NOPRUNE:false OLLAMA_NO_CLOUD:false OLLAMA_NUM_PARALLEL:1 OLLAMA_ORIGINS:[http://localhost https://localhost http://localhost:* https://localhost:* http://127.0.0.1 https://127.0.0.1 http://127.0.0.1:* https://127.0.0.1:* http://0.0.0.0 https://0.0.0.0 http://0.0.0.0:* https://0.0.0.0:* app://* file://* tauri://* vscode-webview://* vscode-file://*] OLLAMA_REMOTES:[ollama.com] OLLAMA_SCHED_SPREAD:false OLLAMA_VULKAN:true ROCR_VISIBLE_DEVICES: http_proxy:http://127.0.0.1:12334 https_proxy:http://127.0.0.1:12334 no_proxy:]"
time=2026-08-18T23:22:44.943+03:00 level=INFO source=routes.go:1935 msg="Ollama cloud disabled: false"
time=2026-08-18T23:22:44.945+03:00 level=INFO source=images.go:912 msg="total blobs: 0"
time=2026-08-18T23:22:44.945+03:00 level=INFO source=images.go:919 msg="total unused blobs removed: 0"
time=2026-08-18T23:22:44.946+03:00 level=INFO source=routes.go:1990 msg="Listening on 127.0.0.1:11434 (version 0.32.14)"
time=2026-08-18T23:22:44.946+03:00 level=INFO source=model_list_cache.go:112 msg="model list cache hydration complete" models=0 failures=0 elapsed=387.502µs
time=2026-08-18T23:22:44.946+03:00 level=INFO source=runner.go:60 msg="discovering available GPUs..."
time=2026-08-18T23:22:45.293+03:00 level=INFO source=model_recommendations.go:177 msg="model recommendations cache sleep scheduled" wait=3h18m35.932611361s consecutive_failures=0
time=2026-08-18T23:22:48.152+03:00 level=INFO source=types.go:32 msg="inference compute" id=0 filter_id=0 library=CUDA compute=7.5 name=CUDA0 description="NVIDIA GeForce GTX 1650 SUPER" libdirs=ollama,cuda_v13 driver=13.1 pci_id=0000:01:00.0 type=discrete total="4.0 GiB" available="3.2 GiB"
time=2026-08-18T23:22:48.152+03:00 level=INFO source=routes.go:2040 msg="vram-based default context" total_vram="4.0 GiB" default_num_ctx=4096
[GIN] 2026/08/18 - 23:22:48 | 404 |     523.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:02 | 404 |     645.902µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:02 | 404 |     354.201µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:02 | 404 |     292.301µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:03 | 404 |     458.802µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:03 | 404 |     612.702µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:03 | 404 |    1.102504ms |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:04 | 404 |     696.311µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:04 | 404 |      648.11µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:04 | 404 |     763.812µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:04 | 404 |     688.811µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:05 | 404 |     363.006µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:05 | 404 |     334.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:05 | 404 |     519.302µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:05 | 404 |     324.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:06 | 404 |     307.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:06 | 404 |     391.202µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:06 | 404 |     344.301µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:06 | 404 |     424.002µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:07 | 404 |     626.503µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:07 | 404 |     280.601µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:07 | 404 |    1.295205ms |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:07 | 404 |     485.902µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:08 | 404 |     876.803µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:08 | 404 |     416.602µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:08 | 404 |     295.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:08 | 404 |     280.201µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:09 | 404 |     542.103µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:09 | 404 |     295.001µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:09 | 404 |     320.201µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:09 | 404 |     390.502µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:10 | 404 |     362.902µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:10 | 404 |     317.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:10 | 404 |     401.802µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:10 | 404 |     292.301µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:11 | 404 |     331.201µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:11 | 404 |     557.702µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:11 | 404 |     578.802µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:11 | 404 |     332.402µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:12 | 404 |     517.202µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:12 | 404 |     351.001µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:12 | 404 |     324.801µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:12 | 404 |     391.301µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:13 | 404 |     288.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:13 | 404 |     323.801µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:13 | 404 |     702.503µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:13 | 404 |     466.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:14 | 404 |     329.301µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:14 | 404 |     678.302µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:14 | 404 |     292.901µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:14 | 404 |     871.103µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:15 | 404 |     870.203µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:15 | 404 |     283.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:15 | 404 |     311.901µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:16 | 404 |     447.002µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:16 | 404 |     262.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:16 | 404 |     285.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:16 | 404 |     742.502µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:17 | 404 |     291.301µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:17 | 404 |     409.602µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:17 | 404 |     358.302µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:17 | 404 |     322.202µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:18 | 404 |     327.401µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:18 | 404 |     410.901µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:18 | 404 |     542.702µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:18 | 404 |     363.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:19 | 404 |     354.201µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:19 | 404 |     287.801µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:19 | 404 |     305.301µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:19 | 404 |     339.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:20 | 404 |     596.202µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:20 | 404 |     286.601µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:20 | 404 |     600.902µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:20 | 404 |     438.302µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:21 | 404 |     326.001µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:21 | 404 |     363.502µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:21 | 404 |    1.384606ms |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:21 | 404 |     310.801µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:22 | 404 |     314.401µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:22 | 404 |     270.001µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:22 | 404 |     352.301µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:22 | 404 |     303.201µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:23 | 404 |     309.301µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:23 | 404 |     311.702µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:23 | 404 |     279.401µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:23 | 404 |     357.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:24 | 404 |     526.802µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:24 | 404 |     510.302µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:24 | 404 |     265.301µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:24 | 404 |     636.303µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:25 | 404 |     316.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:25 | 404 |     502.801µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:25 | 404 |     950.903µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:25 | 404 |     306.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:26 | 404 |     304.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:26 | 404 |     620.102µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:26 | 404 |     577.902µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:27 | 404 |     358.401µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:27 | 404 |     326.902µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:27 | 404 |     555.802µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:27 | 404 |     301.201µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:28 | 404 |     333.301µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:28 | 404 |     320.301µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:28 | 404 |     617.702µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:28 | 404 |     343.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:29 | 404 |     334.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:29 | 404 |     314.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:29 | 404 |     296.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:29 | 404 |     915.903µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:30 | 404 |     282.801µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:30 | 404 |     322.901µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:30 | 404 |     255.801µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:30 | 404 |     354.401µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:31 | 404 |     603.602µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:31 | 404 |     332.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:31 | 404 |     911.204µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:31 | 404 |     274.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:32 | 404 |     319.301µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:32 | 404 |     301.501µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:32 | 404 |     412.601µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:32 | 404 |     301.101µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:33 | 404 |     330.102µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:33 | 404 |    1.123904ms |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:33 | 404 |     758.203µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:33 | 404 |     317.301µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:34 | 404 |     667.902µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:34 | 404 |     363.901µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:34 | 404 |     460.302µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:34 | 404 |     290.801µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:35 | 404 |     507.502µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:35 | 404 |     300.001µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:35 | 404 |     358.601µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:35 | 404 |     738.603µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:36 | 404 |     568.502µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:36 | 404 |     380.401µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:36 | 404 |     353.001µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:36 | 404 |     479.102µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:37 | 404 |     390.401µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:37 | 404 |     376.701µs |       127.0.0.1 | POST     "/v1/completions"
[GIN] 2026/08/18 - 23:23:37 | 404 |     659.301µs |       127.0.0.1 | POST     "/v1/completions"
